epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2252,1.67103,6.28814,2.05848,0.00224,0.7,0.02097,0.00902,1.24647,5.539,1.88567,1.667e-05,1.667e-05,1.667e-05
2,65.7775,1.5764,5.56768,1.86469,0.13033,0.6,0.23175,0.11665,0.85013,6.68456,1.30633,4.5059e-05,4.5059e-05,4.5059e-05
3,97.1247,0.96903,4.53354,1.24422,0.41778,0.4,0.42072,0.23079,0.9328,5.92567,1.37156,6.68467e-05,6.68467e-05,6.68467e-05
4,128.151,0.93928,3.96713,1.26261,0.24674,0.3,0.21588,0.1436,0.89456,3.2101,1.36329,8.20331e-05,8.20331e-05,8.20331e-05
5,158.188,0.8256,3.57181,1.15274,0.20143,0.6,0.24599,0.17733,0.89523,3.01804,1.37862,9.06181e-05,9.06181e-05,9.06181e-05
6,190.023,0.75369,3.33301,1.31784,0.11825,0.6,0.15292,0.10096,0.93788,3.34953,1.4275,9.26019e-05,9.26019e-05,9.26019e-05
7,222.236,0.63985,2.56537,1.02185,0.16737,0.49631,0.19804,0.13456,0.86178,3.21735,1.34882,8.79843e-05,8.79843e-05,8.79843e-05
8,255.074,0.59966,2.41956,0.96732,0.17544,0.3,0.19698,0.15396,0.80275,3.29402,1.34352,7.67654e-05,7.67654e-05,7.67654e-05
9,287.247,0.45032,2.12618,0.80131,0.51431,0.29572,0.26979,0.23685,0.82097,3.32129,1.43113,5.89451e-05,5.89451e-05,5.89451e-05
10,319.071,0.45878,1.79757,1.05091,0.45151,0.2,0.25895,0.22754,0.839,3.46372,1.47036,3.45236e-05,3.45236e-05,3.45236e-05
