epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5566,1.52514,4.87624,2.06893,0.00199,0.5,0.02558,0.01206,1.19916,5.47553,1.84427,1.667e-05,1.667e-05,1.667e-05
2,60.0027,1.0013,3.54792,1.41195,0.60789,0.3,0.17343,0.0988,0.93798,5.98292,1.44039,4.83597e-05,4.83597e-05,4.83597e-05
3,89.4239,1.03003,5.05166,1.49155,0.27956,0.4,0.32724,0.14745,1.00071,5.3859,1.5726,7.78489e-05,7.78489e-05,7.78489e-05
4,119.152,0.85221,3.12264,1.35141,0.22391,0.4,0.32586,0.24398,0.91342,3.97932,1.54365,0.000105138,0.000105138,0.000105138
5,148.501,1.11363,3.14799,1.39028,0.57573,0.4,0.4458,0.33205,0.8983,3.89797,1.61167,0.000130226,0.000130226,0.000130226
6,178.59,0.69649,3.05061,1.2456,0.3229,0.78609,0.52285,0.38057,0.95849,3.40352,1.65145,0.000153114,0.000153114,0.000153114
7,208.386,0.81768,2.42553,1.2686,0.50675,0.5,0.45339,0.3296,0.99002,4.43462,1.72572,0.000173801,0.000173801,0.000173801
8,238.071,0.71623,3.22376,1.20946,0.34979,0.3,0.32446,0.24238,1.2113,6.86569,1.72999,0.000192288,0.000192288,0.000192288
9,267.932,0.89845,2.19784,1.31814,0.12276,0.2,0.10918,0.0668,1.20103,16.0134,1.58194,0.000208575,0.000208575,0.000208575
10,296.884,0.85414,2.47404,1.22205,0.17736,0.3,0.18876,0.10582,1.34184,10.7909,1.75385,0.000222661,0.000222661,0.000222661
11,325.49,0.74804,2.25978,1.26448,0.19157,0.7,0.25595,0.13815,1.24927,12.0515,1.67526,0.000234547,0.000234547,0.000234547
12,354.208,0.98794,2.95959,1.26252,0.19157,0.7,0.25595,0.13815,1.24927,12.0515,1.67526,0.000244232,0.000244232,0.000244232
13,385.856,0.86178,2.20605,1.23031,0.0335,0.4,0.02809,0.01305,2.00661,25.1348,2.80676,0.000251717,0.000251717,0.000251717
14,415.517,1.53232,5.7918,1.6218,0.0177,0.3,0.02556,0.00721,2.56582,82.5633,4.05318,0.000257001,0.000257001,0.000257001
15,444.647,0.98897,2.50221,1.19017,0.0177,0.3,0.02556,0.00721,2.56582,82.5633,4.05318,0.000260085,0.000260085,0.000260085
16,476.148,0.9748,2.06173,1.34726,0.05106,0.5,0.22275,0.10283,2.19418,39.8658,3.22884,0.000260969,0.000260969,0.000260969
17,504.551,0.97744,2.65002,1.13569,0.1425,0.5,0.2028,0.10296,1.67553,28.3076,2.0938,0.000259652,0.000259652,0.000259652
18,533.38,0.75774,1.7276,1.06817,0.1425,0.5,0.2028,0.10296,1.67553,28.3076,2.0938,0.000256135,0.000256135,0.000256135
19,564.852,1.10465,2.15733,1.39022,0.02162,0.5,0.02378,0.01516,1.38301,121.757,1.9891,0.000250417,0.000250417,0.000250417
20,597.947,0.87524,1.76212,1.21904,0.02162,0.5,0.02378,0.01516,1.38301,121.757,1.9891,0.000242498,0.000242498,0.000242498
21,624.658,0.47154,2.18201,0.95728,0.18642,0.5,0.44325,0.30554,1.35178,10.9029,1.80598,0.00023238,0.00023238,0.00023238
22,657.444,0.52128,1.80466,1.03572,0.18642,0.5,0.44325,0.30554,1.35178,10.9029,1.80598,0.000220061,0.000220061,0.000220061
23,684.191,0.58281,1.70889,0.87891,0.28996,0.40446,0.44672,0.31985,1.45767,7.72275,1.80442,0.000205541,0.000205541,0.000205541
24,715.25,0.59976,1.76516,0.81626,0.28996,0.40446,0.44672,0.31985,1.45767,7.72275,1.80442,0.000188821,0.000188821,0.000188821
25,742.688,0.54108,1.51416,0.95104,0.0986,0.3,0.09479,0.06682,1.74954,11.78,2.4128,0.000169901,0.000169901,0.000169901
26,775.461,0.55323,1.48522,1.01422,0.0986,0.3,0.09479,0.06682,1.74954,11.78,2.4128,0.00014878,0.00014878,0.00014878
27,806.054,0.60802,1.62327,0.9002,0.0986,0.3,0.09479,0.06682,1.74954,11.78,2.4128,0.000125458,0.000125458,0.000125458
28,835.673,0.5757,1.58149,1.00057,0.1258,0.21052,0.13646,0.05936,2.05372,8.63572,2.72548,9.99366e-05,9.99366e-05,9.99366e-05
29,872.304,0.53687,1.63246,0.98689,0.1258,0.21052,0.13646,0.05936,2.05372,8.63572,2.72548,7.22144e-05,7.22144e-05,7.22144e-05
30,904.779,0.6372,1.47222,0.91782,0.17451,0.39703,0.22469,0.11533,1.948,6.02002,2.64289,4.22918e-05,4.22918e-05,4.22918e-05
